epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6086027026176453,0.0010000000474974513,0.6613311767578125,0.6367521286010742,0.679531991481781
1,0.7168046832084656,0.0010000000474974513,0.5807759165763855,0.6858974099159241,0.6525977253913879
2,0.7542078495025635,0.0010000000474974513,0.5236551761627197,0.742521345615387,0.601811408996582
3,0.7582153081893921,0.0010000000474974513,0.5056349039077759,0.7553418874740601,0.5620642304420471
4,0.7616884708404541,0.0010000000474974513,0.49907630681991577,0.757478654384613,0.5295522809028625
5,0.7619556784629822,0.0010000000474974513,0.4905947148799896,0.7564102411270142,0.5134057402610779
6,0.7675661444664001,0.0010000000474974513,0.4829167425632477,0.7606837749481201,0.5032233595848083
7,0.7710392475128174,0.0010000000474974513,0.47833454608917236,0.7724359035491943,0.48735517263412476
8,0.77290940284729,0.0010000000474974513,0.46871134638786316,0.7702991366386414,0.4836290776729584
9,0.7771840691566467,0.0010000000474974513,0.4695718586444855,0.7745726704597473,0.48083069920539856
10,0.7806572318077087,0.0010000000474974513,0.4653482139110565,0.7777777910232544,0.47537973523139954
11,0.7769169211387634,0.0010000000474974513,0.4636770486831665,0.7777777910232544,0.47327691316604614
12,0.7838631868362427,0.0010000000474974513,0.45843306183815,0.7702991366386414,0.47269266843795776
13,0.7827945351600647,0.0010000000474974513,0.45697349309921265,0.7767093777656555,0.47322288155555725
14,0.7886722087860107,0.0010000000474974513,0.45364558696746826,0.7735042572021484,0.46682679653167725
15,0.7827945351600647,0.0010000000474974513,0.449272483587265,0.7777777910232544,0.46806320548057556
16,0.77745121717453,0.0010000000474974513,0.45468538999557495,0.7799145579338074,0.46002498269081116
17,0.7857333421707153,0.0010000000474974513,0.44448310136795044,0.7841880321502686,0.46370258927345276
18,0.7790542244911194,0.0010000000474974513,0.4467783272266388,0.7809829115867615,0.4601338505744934
19,0.788939356803894,0.0010000000474974513,0.44606414437294006,0.7831196784973145,0.4576322138309479
20,0.7905423641204834,0.0010000000474974513,0.4397938847541809,0.7756410241127014,0.45723724365234375
21,0.784397542476654,0.0010000000474974513,0.4401051104068756,0.7767093777656555,0.4559096097946167
22,0.7942826747894287,0.0010000000474974513,0.4290359616279602,0.7756410241127014,0.45634520053863525
23,0.792412519454956,0.0010000000474974513,0.4403350055217743,0.7831196784973145,0.45550528168678284
24,0.7886722087860107,0.0010000000474974513,0.43392616510391235,0.7831196784973145,0.44951972365379333
25,0.7982901334762573,0.0010000000474974513,0.4304182529449463,0.7884615659713745,0.45014601945877075
26,0.7982901334762573,0.0010000000474974513,0.42831382155418396,0.7863247990608215,0.44627687335014343
27,0.7918781638145447,0.0010000000474974513,0.429108589887619,0.7820512652397156,0.4468303918838501
28,0.7982901334762573,0.0010000000474974513,0.4276987910270691,0.7841880321502686,0.4491008520126343
29,0.790008008480072,0.0010000000474974513,0.42829135060310364,0.7799145579338074,0.45102906227111816
30,0.7942826747894287,0.0010000000474974513,0.4305039346218109,0.7884615659713745,0.4457727372646332
